c16372	O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1
c19584	CCC(CO)NC(=O)[C@@H]1C=C2c3cccc4c3c(cn4C)C[C@H]2N(C)C1
c19585	C=CCN1C[C@H](C(=O)N(CCCN(C)C)C(=O)NCC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21
c19586	CC(C)N1CCN(c2ccc(OC[C@@H]3CO[C@@](Cn4cncn4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1
c16395	O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1
c19587	CC(=O)[C@H]1CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@]12C
c16683	CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1
c17470	Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1
c17537	Nc1ccc(S(N)(=O)=O)cc1
c16861	O=C1CN2Cc3c(ccc(Cl)c3Cl)N=C2N1
c16911	Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C
c16707	COCCc1ccc(OCC(O)CNC(C)C)cc1
c17042	O=c1oc2ccccc2c(O)c1Cc1c(O)c2ccccc2oc1=O
c16882	CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@H]12)c1csc(N)n1
c17573	CCCN(CCC)CCc1cccc2c1CC(=O)N2
c45	COc1ccc(C(Cl)=C(c2ccc(OC)cc2)c2ccc(OC)cc2)cc1
c17625	COC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc2nonc12
c16755	NCCc1ccn[nH]1
c16401	CC1(C)O[C@@H]2CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@H]3[C@@H]2O1
c16883	CO[C@@]1(NC(=O)CSCC#N)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@@H]21
c19589	CCCc1nc(C(C)(C)O)c(C(=O)O)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1
c16357	COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12
c16336	Cn1c(=O)c2[nH]cnc2n(C)c1=O
c19590	CC1CNc2c(cccc2S(=O)(=O)N[C@@H](CCCNC(=N)N)C(=O)N2CC[C@@H](C)C[C@@H]2C(=O)O)C1
c16374	N[C@@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O
c16723	CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C
c16391	CCN(CC)CC(=O)Nc1c(C)cccc1C
c19591	C[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@H](O[C@H]([C@H](O)CO)[C@H](O)[C@@H](O)C=O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O
